DaysPostVax,Animal,OD,Group
d0,1,0.06775,EcA
d0,2,0.2256,EcA
d0,3,0.17095,EcA
d0,4,0.1728,EcA
d0,5,0.2122,EcA
d0,6,0.18355,EcA
d0,7,0.1725,EcA
d0,8,0.24525,EcA
d0,9,0.2231,EcA
d0,10,0.1431,EcA
d0,11,0.2534,Ec
d0,12,0.1639,Ec
d0,13,0.2243,Ec
d0,14,0.11775,Ec
d0,15,0.2503,Ec
d0,16,0.1571,Ec
d21,1,0.2899,
d21,2,0.10595,
d21,3,1.0141,
d21,4,0.76815,
d21,5,0.54,
d21,6,0.3113,
d21,7,0.6107,
d21,8,0.27575,
d21,9,0.53785,
d21,10,0.6092,
d21,11,0.0629,
d21,12,NA,not enough sample to repeat
d21,13,0.2025,
d21,14,NA,not enough sample to repeat
d21,15,0.26875,
d21,16,0.1017,
d35,1,0.46495,EcA
d35,2,0.5376,EcA
d35,3,2.5793,EcA
d35,4,1.37155,EcA
d35,5,1.08315,EcA
d35,6,0.8698,EcA
d35,7,1.051,EcA
d35,8,0.57245,EcA
d35,9,0.92155,EcA
d35,10,0.65705,EcA
d35,11,0.4994,Ec
d35,12,0.5322,Ec
d35,13,0.6365,Ec
d35,14,0.46605,Ec
d35,15,0.367,Ec
d35,16,0.4142,Ec
d56,1,0.4106,
d56,2,1.7009,
d56,3,3.47715,
d56,4,3.30255,
d56,5,3.38965,
d56,6,2.0442,
d56,7,1.4603,
d56,8,1.3599,
d56,9,2.7156,
d56,10,1.6588,
d56,11,0.3613,
d56,12,0.2651,
d56,13,0.58585,
d56,14,0.2172,
d56,15,NA,contamination
d56,16,0.2728,
d133,1,0.19635,
d133,2,0.9101,
d133,3,3.3621,
d133,4,2.81565,
d133,5,NA,no sample
d133,6,1.36515,
d133,7,0.9894,
d133,8,0.90165,
d133,9,2.69065,
d133,10,0.4688,
d133,11,0.36835,
d133,12,0.0095,
d133,13,0.5788,
d133,14,0.4667,
d133,15,0.51025,
d133,16,0.13565,
d210,1,0.098,
d210,2,0.41,
d210,3,3.22785,
d210,4,1.6737,
d210,5,0.30925,
d210,6,0.7077,
d210,7,0.31605,
d210,8,0.2539,
d210,9,2.1768,
d210,10,0.40735,
d210,11,0.3767,
d210,12,0.0684,
d210,13,0.36905,
d210,14,0.1097,
d210,15,NA,no sample
d210,16,0.05325,
